Name,Unique ID,Account Type,Account Balance_x,Last Transaction Date_x,Overdraft Status,Active Status,Student ID,Major,GPA,Date of Birth,Date of Death,Cause of Death,EmployeeID,Position,Salary,Account Number,Last Transaction Date_y,Account Balance_y,BenefitType,LastClaimDate,Status,PatientID,LastAppointmentDate,ActivePrescriptions,Taxpayer ID,Last Filed Year,Tax Libaility,Voter ID,Last Voted Date,Registration Status,CaseNumber,LastCourtAppearance,CaseStatus,Username,LastLoginDate,PostsLastYear,Address,Electricity Usage,Water Usage,Last Payment Date,Passport Number,Last Travel Date,Destination,Target
Aaron Jenkins,ACC10022,Savings,294.0,2017-07-10,No,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1
Amanda Garcia,ACC10012,Checking,9921.8,2023-01-31,No,No,0.0,0,0.0,1975-03-09,2019-09-30,Diabetes,0.0,0,0.0,ACC89012,2019-05-06,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
Amber Sanders,ACC10031,Credit,7172.5,2018-12-07,Yes,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
Andrew Harris,ACC10015,Credit,2485.55,2023-10-06,No,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1
Angela Collins,ACC10042,Credit,9473.14,2017-04-25,Yes,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1
Anthony Gonzalez,ACC10041,Savings,2541.49,2017-03-09,Yes,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
Anthony Jackson,ACC10011,Checking,4166.0,2018-01-26,No,Yes,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1
Ashley Wilson,ACC10000,Checking,9187.06,2023-08-17,Yes,Yes,1001.0,Computer Science,3.8,0,0,0,2006.0,Data Scientist,95000.0,ACC67891,2023-10-15,3200.0,Education Grant,2023-09-30,Active,3006.0,2023-10-02,1.0,TID1006,2023.0,3200.0,VID5006,2022-11-08,Active,LC1006,2023-10-05,Active,ashley_w,2023-10-05,85.0,456 Oak Avenue,350.0,150.0,2023-09-30,P2345678,2023-09-10,Japan,0
Brandon Thompson,ACC10065,Checking,7328.91,2022-08-14,Yes,No,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
Brenda Diaz,ACC10046,Checking,2916.16,2018-04-20,Yes,No,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1
